Global_Step,Curriculum_Lvl,Dist_to_Target,Reward,Terminated,Table_Collision,Self_Collision,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,J1_Vel,J2_Vel,J3_Vel,J4_Vel,J5_Vel,J6_Vel,Gripper_Pos,EE_X,EE_Y,EE_Z,Target_X,Target_Y,Target_Z,Handoff_X,Handoff_Y,Handoff_Z,Handoff_OK,Act_J1,Act_J2,Act_J3,Act_J4,Act_J5,Act_J6,Act_Gripper,Phase,Goal_X,Goal_Y,Goal_Z,Transport_X,Transport_Y,Transport_Z,Transport_OK,Placement_Error_M,Standoff_M,Spawn_Radius_M,Contact_Detected
41,0.0,1.4979,-0.0226,False,False,False,-0.5719,5.5115,0.8396,-1.7931,4.6501,1.1189,0.0193,0.0679,0.1108,0.0597,-0.0520,0.1239,0.4073,-0.1044,0.4521,0.9665,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0107,0.0355,0.0586,0.0308,-0.0279,0.0664,-1.5896,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
42,0.0,1.4955,-0.0108,False,False,False,-0.5720,5.5123,0.8415,-1.7929,4.6494,1.1204,-0.0286,-0.0696,0.0374,-0.0721,0.0040,-0.0220,0.3683,-0.1034,0.4447,0.9691,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0283,-0.0640,0.0390,-0.0712,0.0033,-0.0203,-0.8847,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
43,0.0,1.4982,-0.0164,False,False,False,-0.5720,5.5123,0.8415,-1.7929,4.6494,1.1204,-0.0286,-0.0696,0.0374,-0.0721,0.0040,-0.0220,0.3683,-0.1072,0.4441,0.9703,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0335,-0.0603,0.0367,-0.0687,0.0535,0.0680,-3.0649,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
44,0.0,1.5012,-0.0169,False,False,False,-0.5721,5.5110,0.8418,-1.7950,4.6499,1.1194,0.0374,0.0028,-0.0457,-0.0687,0.0353,-0.0637,0.3739,-0.1092,0.4457,0.9718,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0368,0.0010,-0.0450,-0.0700,0.0354,-0.0641,0.2541,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
45,0.0,1.5018,-0.0144,False,False,False,-0.5721,5.5110,0.8418,-1.7950,4.6499,1.1194,0.0374,0.0028,-0.0457,-0.0687,0.0353,-0.0637,0.3739,-0.1109,0.4463,0.9708,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0028,-0.0208,0.0595,-0.0212,-0.0540,0.0749,0.2736,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
46,0.0,1.5015,-0.0149,False,False,False,-0.5724,5.5121,0.8408,-1.7953,4.6524,1.1183,-0.0653,0.0668,-0.0045,0.0675,0.1208,0.0109,0.4397,-0.1120,0.4461,0.9694,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0335,0.0352,-0.0032,0.0342,0.0642,0.0045,2.4723,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True
47,0.0,1.5061,-0.0152,False,False,False,-0.5732,5.5135,0.8409,-1.7950,4.6543,1.1178,0.0194,0.0342,0.0090,-0.0669,0.0159,-0.0663,0.4608,-0.1191,0.4552,0.9630,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0181,0.0368,0.0089,-0.0660,0.0176,-0.0662,0.3628,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
48,0.0,1.5002,-0.0036,False,False,False,-0.5732,5.5135,0.8409,-1.7950,4.6543,1.1178,0.0194,0.0342,0.0090,-0.0669,0.0159,-0.0663,0.4608,-0.1119,0.4507,0.9639,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0560,-0.0449,0.0629,-0.0323,-0.0684,0.0217,0.7546,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
49,0.0,1.5009,-0.0101,False,False,False,-0.5732,5.5135,0.8409,-1.7950,4.6543,1.1178,0.0194,0.0342,0.0090,-0.0669,0.0159,-0.0663,0.4608,-0.1122,0.4539,0.9624,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0031,0.0544,-0.0578,-0.0579,-0.0410,-0.0457,1.8539,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True
50,0.0,1.5039,-0.0116,False,False,False,-0.5723,5.5139,0.8413,-1.7960,4.6542,1.1165,0.0551,-0.0332,0.0250,0.0301,-0.0352,-0.0087,0.4302,-0.1138,0.4702,0.9532,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0555,-0.0320,0.0252,0.0289,-0.0349,-0.0100,-0.7381,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
